"xpath","ncharacter","text"
"/HTML[1]/BODY[1]/DIV[2]/H1[1]/A[1]/text()[1]",10,"大航海時代-娜斯水狐"
"/HTML[1]/BODY[1]/DIV[3]/A[1]/text()[1]",5,"04-<<"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[1]/text()[1]",1,"1"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[2]/text()[1]",1,"2"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[3]/A[1]/text()[1]",1,"3"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[4]/text()[1]",1,"4"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[5]/text()[1]",1,"5"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[6]/text()[1]",1,"6"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[7]/text()[1]",1,"7"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[8]/text()[1]",1,"8"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[9]/text()[1]",1,"9"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[10]/text()[1]",2,"10"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[11]/text()[1]",2,"11"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[12]/text()[1]",2,"12"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[13]/text()[1]",2,"13"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[14]/text()[1]",2,"14"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[15]/text()[1]",2,"15"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[16]/text()[1]",2,"16"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[17]/text()[1]",2,"17"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[18]/text()[1]",2,"18"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[19]/text()[1]",2,"19"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[20]/text()[1]",2,"20"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[21]/text()[1]",2,"21"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[22]/text()[1]",2,"22"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[23]/text()[1]",2,"23"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[24]/text()[1]",2,"24"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[25]/text()[1]",2,"25"
"/HTML[1]/BODY[1]/DIV[3]/SPAN[26]/text()[1]",2,"26"
