left,bottom,right,top,xpath
0,5590,1351,27,/HTML[1]/BODY[1]
0,27,1351,0,/HTML[1]/BODY[1]/DIV[1]
0,26,1351,0,/HTML[1]/BODY[1]/DIV[1]/DIV[1]
0,24,1356,0,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/DIV[1]
5,27,65,13,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/DIV[1]/A[1]
5,24,65,0,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/DIV[1]/A[1]/IMG[1]
1081,24,1331,4,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/DIV[2]
1081,24,1331,4,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/DIV[2]/FORM[1]
1090,24,1242,4,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/INPUT[1]
1246,23,1331,5,/HTML[1]/BODY[1]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/INPUT[2]
270,262,1080,27,/HTML[1]/BODY[1]/DIV[2]
270,86,1080,27,/HTML[1]/BODY[1]/DIV[2]/H1[1]
855,88,1045,64,/HTML[1]/BODY[1]/DIV[2]/H1[1]/A[1]
855,88,1045,64,/HTML[1]/BODY[1]/DIV[2]/H1[1]/A[1]/text()[1]
270,101,1080,86,/HTML[1]/BODY[1]/DIV[2]/DIV[1]
0,297,1351,267,/HTML[1]/BODY[1]/DIV[3]
334,289,377,274,/HTML[1]/BODY[1]/DIV[3]/A[1]
334,289,377,274,/HTML[1]/BODY[1]/DIV[3]/A[1]/text()[1]
385,289,392,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[1]
385,289,392,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[1]/text()[1]
398,289,406,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[2]
398,289,406,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[2]/text()[1]
412,289,420,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[3]
412,289,420,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[3]/A[1]
412,289,420,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[3]/A[1]/text()[1]
426,289,434,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[4]
426,289,434,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[4]/text()[1]
440,289,448,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[5]
440,289,448,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[5]/text()[1]
454,289,461,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[6]
454,289,461,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[6]/text()[1]
467,289,475,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[7]
467,289,475,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[7]/text()[1]
481,289,489,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[8]
481,289,489,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[8]/text()[1]
495,289,502,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[9]
495,289,502,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[9]/text()[1]
508,289,523,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[10]
508,289,523,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[10]/text()[1]
529,289,545,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[11]
529,289,545,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[11]/text()[1]
551,289,566,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[12]
551,289,566,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[12]/text()[1]
572,289,587,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[13]
572,289,587,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[13]/text()[1]
593,289,608,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[14]
593,289,608,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[14]/text()[1]
614,289,630,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[15]
614,289,630,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[15]/text()[1]
636,289,651,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[16]
636,289,651,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[16]/text()[1]
657,289,672,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[17]
657,289,672,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[17]/text()[1]
678,289,693,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[18]
678,289,693,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[18]/text()[1]
699,289,715,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[19]
699,289,715,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[19]/text()[1]
721,289,736,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[20]
721,289,736,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[20]/text()[1]
742,289,757,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[21]
742,289,757,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[21]/text()[1]
763,289,778,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[22]
763,289,778,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[22]/text()[1]
784,289,800,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[23]
784,289,800,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[23]/text()[1]
806,289,821,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[24]
806,289,821,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[24]/text()[1]
827,289,842,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[25]
827,289,842,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[25]/text()[1]
848,289,863,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[26]
848,289,863,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[26]/text()[1]
869,289,885,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[27]
869,289,885,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[27]/text()[1]
891,289,906,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[28]
891,289,906,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[28]/text()[1]
912,289,927,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[29]
912,289,927,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[29]/text()[1]
933,289,948,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[30]
933,289,948,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[30]/text()[1]
954,289,970,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[31]
954,289,970,274,/HTML[1]/BODY[1]/DIV[3]/SPAN[31]/text()[1]
973,289,1016,274,/HTML[1]/BODY[1]/DIV[3]/A[2]
973,289,1016,274,/HTML[1]/BODY[1]/DIV[3]/A[2]/text()[1]
270,5540,1080,297,/HTML[1]/BODY[1]/DIV[4]
270,327,1080,297,/HTML[1]/BODY[1]/DIV[4]/DIV[1]
545,5540,1080,327,/HTML[1]/BODY[1]/DIV[4]/DIV[2]
545,740,1045,327,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]
545,353,1045,327,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/H2[1]
560,348,666,332,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/H2[1]/A[1]
560,348,666,332,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/H2[1]/A[1]/text()[1]
545,382,1040,363,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[1]
996,380,1040,365,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[1]/text()[1]
545,710,1045,392,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[2]
560,642,1030,392,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[2]/DIV[1]
645,642,945,392,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/IFRAME[1]
945,642,946,641,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[2]/DIV[1]/IMG[1]
560,690,1030,652,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[2]/DIV[2]
560,666,795,656,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[2]/DIV[2]/text()[1]
560,685,706,675,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[2]/DIV[2]/text()[2]
545,740,1045,720,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[3]
967,737,1045,724,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[3]/A[1]
967,737,1045,724,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[1]/DIV[3]/A[1]/text()[1]
545,5401,1045,780,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]
545,806,1045,780,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/H2[1]
560,801,856,785,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/H2[1]/A[1]
560,801,856,785,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/H2[1]/A[1]/text()[1]
545,835,1040,816,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[1]
968,833,1040,818,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[1]/text()[1]
545,5333,1045,845,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]
560,4589,1366,843,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]
560,884,1017,843,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[1]
560,922,776,900,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[2]
560,960,847,938,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[3]
560,1577,1366,1555,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/A[1]
560,1573,1366,959,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/A[1]/IMG[1]
560,1631,1023,1590,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[4]
560,1669,999,1647,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[5]
560,1707,787,1685,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[6]
560,2427,1366,2405,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/A[2]
560,2423,1366,1706,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/A[2]/IMG[1]
560,3144,1366,3122,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/A[3]
560,3140,1366,2423,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/A[3]/IMG[1]
560,3861,1366,3839,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/A[4]
560,3857,1366,3140,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/A[4]/IMG[1]
560,3915,987,3893,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[7]
560,3953,722,3931,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/text()[8]
560,4589,1366,4567,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/A[5]
560,4585,1366,3971,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[1]/A[5]/IMG[1]
560,4640,652,4625,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/text()[1]
560,5259,1366,5244,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/A[1]
560,5256,1366,4642,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/A[1]/IMG[1]
560,5314,765,5292,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[2]
560,5314,765,5292,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[2]/SPAN[2]/text()[1]
545,5367,1045,5347,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[3]
545,5366,1045,5347,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[3]/DIV[1]
545,5364,643,5349,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[3]/DIV[1]/text()[1]
545,5367,546,5366,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[3]/IMG[1]
545,5401,1045,5381,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[4]
830,5398,852,5385,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[4]/A[1]
830,5398,852,5385,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[4]/A[1]/text()[1]
852,5398,865,5385,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[4]/text()[1]
865,5398,932,5385,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[4]/A[2]
865,5398,932,5385,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[4]/A[2]/text()[1]
932,5398,944,5385,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[4]/text()[2]
944,5398,1045,5385,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[4]/A[3]
944,5398,1045,5385,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[2]/DIV[4]/A[3]/text()[1]
545,5540,1045,5441,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[3]
763,5488,777,5473,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[3]/text()[1]
777,5488,813,5473,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[3]/A[1]
777,5488,813,5473,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[3]/A[1]/text()[1]
813,5488,827,5473,/HTML[1]/BODY[1]/DIV[4]/DIV[2]/DIV[3]/text()[2]
270,2502,505,327,/HTML[1]/BODY[1]/DIV[4]/DIV[3]
295,353,505,327,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[1]
348,348,452,332,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[1]/text()[1]
300,482,500,368,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[1]
300,482,500,368,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[1]/DIV[1]
300,480,492,370,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[1]/DIV[1]/text()[1]
295,538,505,512,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[2]
355,533,446,517,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[2]/text()[1]
300,705,500,553,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[2]
300,648,500,553,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[2]/DIV[1]
300,646,497,555,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[2]/DIV[1]/text()[1]
300,705,500,648,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[2]/DIV[3]
300,703,492,650,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[2]/DIV[3]/text()[1]
295,761,505,735,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[3]
342,756,459,740,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[3]/text()[1]
300,851,500,776,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]
300,851,500,776,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]
300,851,500,776,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]
300,791,500,776,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[1]
300,791,494,776,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[1]/A[1]
300,791,494,776,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[1]/A[1]/text()[1]
300,811,500,796,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[2]
300,811,442,796,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[2]/A[1]
300,811,442,796,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[2]/A[1]/text()[1]
300,831,500,816,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[3]
300,831,458,816,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[3]/A[1]
300,831,458,816,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[3]/A[1]/text()[1]
300,851,500,836,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[4]
300,851,348,836,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[4]/A[1]
300,851,348,836,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[3]/DIV[2]/UL[1]/LI[4]/A[1]/text()[1]
295,907,505,881,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[4]
295,902,449,886,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[4]/text()[1]
300,959,500,922,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[4]
300,959,500,922,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[4]/DIV[2]
300,959,500,922,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[4]/DIV[2]/FORM[1]
300,959,500,922,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[4]/DIV[2]/FORM[1]/P[1]
300,939,452,922,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[4]/DIV[2]/FORM[1]/P[1]/INPUT[1]
300,959,336,939,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[4]/DIV[2]/FORM[1]/P[1]/INPUT[2]
295,1015,505,989,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[5]
374,1010,426,994,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/H3[5]/text()[1]
300,1372,500,1030,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]
300,1372,500,1030,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]
300,1372,500,1030,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]
300,1049,500,1030,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[1]
300,1047,371,1032,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[1]/A[1]
300,1047,371,1032,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[1]/A[1]/text()[1]
300,1068,500,1049,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[2]
300,1066,395,1051,/HTML[1]/BODY[1]/DIV[4]/DIV[3]/DIV[5]/DIV[2]/DIV[1]/DIV[2]/A[1]
